League_Name,Team_Overall,GP,Avg,0.5+,1.5+,2.5+,3.5+,4.5+,5.5+,BTS,CS,FTS,WTN,LTN
Indonesia - Liga 1,PSM,34.0,2.38,94%,71%,35%,26%,12%,0%,62%,26%,18%,21%,12%
Indonesia - Liga 1,Persis Solo,34.0,2.35,91%,68%,41%,21%,12%,3%,41%,24%,44%,15%,35%
Indonesia - Liga 1,Persebaya S.,34.0,2.32,91%,71%,38%,18%,12%,3%,56%,29%,24%,21%,15%
Indonesia - Liga 1,Persita,34.0,2.21,94%,68%,41%,15%,3%,0%,44%,24%,38%,18%,32%
Israel - Ligat HaAl,M. Tel Aviv,36.0,3.39,100%,92%,69%,47%,22%,6%,67%,28%,6%,28%,6%
Israel - Ligat HaAl,Maccabi Haifa,36.0,3.39,94%,89%,69%,44%,28%,14%,56%,31%,19%,25%,14%
Israel - Ligat HaAl,Ashdod,33.0,3.12,91%,82%,61%,39%,24%,9%,73%,15%,21%,6%,12%
Israel - Ligat HaAl,B. Jerusalem,36.0,3.11,97%,81%,58%,42%,28%,6%,58%,25%,19%,22%,17%
Israel - Ligat HaAl,Maccabi Netanya,36.0,3.03,97%,81%,61%,33%,19%,6%,56%,22%,25%,19%,22%
Israel - Ligat HaAl,H. Beer Sheva,36.0,2.86,94%,78%,53%,33%,17%,8%,53%,42%,11%,36%,6%
Israel - Ligat HaAl,Hapoel Haifa,36.0,2.81,94%,75%,53%,31%,17%,8%,47%,31%,28%,25%,22%
Israel - Ligat HaAl,H. Jerusalem,33.0,2.7,88%,76%,42%,33%,21%,9%,52%,33%,27%,21%,15%
Israel - Ligat HaAl,Hapoel Hadera,33.0,2.67,88%,76%,55%,27%,15%,6%,64%,18%,30%,6%,18%
Israel - Ligat HaAl,Kiryat Shmona,33.0,2.55,94%,70%,42%,21%,15%,9%,39%,27%,39%,21%,33%
Israel - Ligat HaAl,M. Petah Tikva,33.0,2.45,82%,67%,48%,21%,18%,6%,48%,27%,42%,9%,24%
Israel - Ligat HaAl,M. Bnei Raina,33.0,2.39,94%,70%,45%,15%,9%,3%,48%,27%,30%,21%,24%
Israel - Ligat HaAl,Ironi Tiberias,33.0,2.21,88%,70%,39%,21%,3%,0%,48%,24%,39%,12%,27%
Israel - Ligat HaAl,Sakhnin,33.0,2.12,85%,55%,39%,18%,6%,3%,30%,33%,52%,18%,36%
Israel - Leumit League,Ramat Hasharon,37.0,3.59,95%,86%,68%,49%,27%,19%,57%,19%,30%,14%,24%
Israel - Leumit League,H. Kfar Shalem,37.0,3.19,100%,86%,57%,41%,22%,8%,57%,19%,24%,19%,24%
Israel - Leumit League,M. Herziliya,37.0,2.97,100%,84%,59%,32%,14%,5%,54%,22%,24%,22%,24%
Israel - Leumit League,H. Ramat Gan,37.0,2.86,95%,76%,51%,32%,14%,11%,38%,43%,24%,38%,19%
Israel - Leumit League,H. Ironi Rishon,37.0,2.84,97%,78%,49%,27%,19%,8%,57%,19%,27%,16%,24%
Israel - Leumit League,Hapoel Tel Aviv,37.0,2.78,97%,78%,62%,24%,8%,5%,43%,51%,8%,49%,5%
Israel - Leumit League,Bnei Yehuda,37.0,2.7,100%,73%,49%,30%,16%,3%,51%,27%,22%,27%,22%
Israel - Leumit League,Maccabi Jaffa,37.0,2.62,89%,78%,49%,24%,14%,5%,59%,24%,27%,14%,16%
Israel - Leumit League,H. Umm al-Fahm,37.0,2.51,92%,70%,51%,24%,11%,3%,46%,16%,46%,8%,38%
Israel - Leumit League,H. Kfar Saba,37.0,2.49,100%,76%,43%,22%,5%,3%,51%,24%,24%,24%,24%
Israel - Leumit League,H. Nof Hagalil,37.0,2.49,89%,70%,41%,24%,14%,5%,46%,22%,43%,11%,32%
Israel - Leumit League,Hapoel Afula,37.0,2.46,86%,73%,43%,35%,8%,0%,46%,22%,46%,8%,32%
Israel - Leumit League,Hapoel Akko,37.0,2.46,95%,76%,49%,19%,8%,0%,46%,30%,30%,24%,24%
Israel - Leumit League,Hapoel Raanana,37.0,2.3,86%,68%,46%,24%,5%,0%,51%,27%,35%,14%,22%
Israel - Leumit League,H. Petah Tikva,37.0,2.27,95%,59%,38%,19%,16%,0%,32%,62%,11%,57%,5%
Israel - Leumit League,Kafr Qasim,37.0,1.84,97%,62%,19%,5%,0%,0%,38%,30%,35%,27%,32%
Italy - Serie A,Atalanta,38.0,3.03,92%,82%,55%,39%,26%,5%,50%,39%,18%,32%,11%
Italy - Serie A,Inter Milan,38.0,3.0,100%,79%,55%,39%,16%,5%,47%,42%,11%,42%,11%
Italy - Serie A,Lazio,38.0,2.89,97%,82%,61%,29%,13%,8%,63%,24%,16%,21%,13%
Italy - Serie A,AC Milan,38.0,2.74,95%,82%,61%,26%,8%,3%,58%,34%,13%,29%,8%
Italy - Serie A,Bologna,38.0,2.74,92%,82%,53%,34%,13%,0%,58%,32%,18%,24%,11%
Italy - Serie A,Parma,38.0,2.68,87%,71%,55%,39%,16%,0%,66%,18%,29%,5%,16%
Italy - Serie A,Como,38.0,2.66,100%,84%,45%,24%,11%,3%,61%,18%,21%,18%,21%
Italy - Serie A,Fiorentina,38.0,2.66,92%,71%,61%,24%,13%,5%,55%,32%,21%,24%,13%
Italy - Serie A,Hellas Verona,38.0,2.63,92%,68%,47%,26%,24%,3%,42%,21%,45%,13%,37%
Italy - Serie A,Monza,38.0,2.55,95%,79%,50%,24%,5%,3%,53%,8%,45%,3%,39%
Italy - Serie A,Udinese,38.0,2.55,92%,74%,50%,24%,16%,0%,53%,24%,32%,16%,24%
Italy - Serie A,Cagliari,38.0,2.53,92%,76%,50%,21%,11%,3%,50%,18%,39%,11%,32%
Italy - Serie A,Juventus,38.0,2.45,89%,76%,42%,21%,8%,3%,47%,45%,18%,34%,8%
Italy - Serie A,Empoli,38.0,2.42,89%,74%,47%,21%,11%,0%,55%,16%,39%,5%,29%
Italy - Serie A,AS Roma,38.0,2.39,95%,66%,39%,24%,13%,3%,47%,42%,16%,37%,11%
Italy - Serie A,Venezia,38.0,2.32,89%,68%,42%,24%,8%,0%,50%,16%,45%,5%,34%
Italy - Serie A,Genoa,38.0,2.26,89%,68%,39%,21%,5%,3%,47%,29%,34%,18%,24%
Italy - Serie A,Napoli,38.0,2.26,92%,71%,45%,16%,3%,0%,42%,50%,16%,42%,8%
Italy - Serie A,Lecce,38.0,2.24,89%,58%,39%,24%,11%,3%,39%,24%,47%,13%,37%
Italy - Serie A,Torino,38.0,2.21,92%,68%,26%,21%,13%,0%,47%,26%,34%,18%,26%
Italy - Serie B,Sassuolo,38.0,3.05,95%,82%,50%,29%,18%,16%,55%,39%,11%,34%,5%
Italy - Serie B,Sudtirol,38.0,2.82,92%,82%,58%,26%,11%,8%,58%,21%,29%,13%,21%
Italy - Serie B,Cremonese,38.0,2.79,95%,76%,55%,37%,13%,3%,66%,21%,18%,16%,13%
Italy - Serie B,Mantova,38.0,2.71,92%,74%,53%,37%,11%,5%,58%,21%,29%,13%,21%
Italy - Serie B,Pisa,38.0,2.63,92%,71%,58%,29%,11%,3%,53%,32%,24%,24%,16%
Italy - Serie B,Modena,38.0,2.58,95%,76%,50%,29%,5%,3%,63%,18%,24%,13%,18%
Italy - Serie B,Catanzaro,38.0,2.53,82%,71%,47%,34%,11%,8%,55%,34%,29%,16%,11%
Italy - Serie B,Palermo,38.0,2.5,95%,74%,47%,21%,5%,3%,58%,29%,18%,24%,13%
Italy - Serie B,Reggiana,38.0,2.47,92%,76%,47%,24%,5%,3%,55%,21%,32%,13%,24%
Italy - Serie B,Cesena,38.0,2.45,92%,74%,39%,16%,11%,8%,55%,29%,24%,21%,16%
Italy - Serie B,Spezia,38.0,2.42,87%,74%,42%,26%,11%,3%,47%,42%,24%,29%,11%
Italy - Serie B,Brescia,38.0,2.37,84%,68%,42%,21%,13%,5%,58%,29%,29%,13%,13%
Italy - Serie B,Carrarese,38.0,2.32,87%,66%,45%,24%,8%,3%,47%,34%,32%,21%,18%
Italy - Serie B,Cosenza,38.0,2.32,95%,66%,42%,24%,5%,0%,53%,18%,34%,13%,29%
Italy - Serie B,Frosinone,38.0,2.29,92%,76%,42%,16%,3%,0%,55%,21%,32%,13%,24%
Italy - Serie B,Sampdoria,38.0,2.29,84%,58%,39%,24%,11%,8%,50%,32%,34%,16%,18%
Italy - Serie B,Cittadella,38.0,2.26,84%,58%,45%,21%,11%,5%,39%,32%,45%,16%,29%
Italy - Serie B,Salernitana,38.0,2.21,87%,66%,37%,18%,13%,0%,45%,26%,42%,13%,29%
Italy - Serie B,Juve Stabia,38.0,2.18,84%,71%,47%,16%,0%,0%,53%,32%,32%,16%,16%
Italy - Serie B,Bari,38.0,2.13,84%,68%,34%,18%,5%,3%,55%,34%,26%,18%,11%
Italy - Serie C - Group A,Atalanta B,38.0,3.11,95%,84%,68%,42%,11%,8%,68%,21%,16%,16%,11%
Italy - Serie C - Group A,Caldiero Terme,38.0,2.71,95%,76%,45%,32%,16%,5%,50%,21%,34%,16%,29%
Italy - Serie C - Group A,Clodiense,38.0,2.66,97%,76%,58%,29%,5%,0%,63%,11%,29%,8%,26%
Italy - Serie C - Group A,Lumezzane,38.0,2.5,95%,76%,37%,29%,11%,3%,53%,18%,34%,13%,29%
Italy - Serie C - Group A,Virtus Verona,38.0,2.5,92%,76%,53%,16%,8%,3%,55%,32%,21%,24%,13%
Italy - Serie C - Group A,Arzignano,38.0,2.39,97%,74%,42%,18%,8%,0%,50%,29%,24%,26%,21%
Italy - Serie C - Group A,Padova,38.0,2.34,95%,71%,45%,16%,8%,0%,50%,45%,11%,39%,5%
Italy - Serie C - Group A,Trento,38.0,2.34,87%,71%,39%,24%,11%,3%,47%,32%,34%,18%,21%
Italy - Serie C - Group A,Pergolettese,38.0,2.24,89%,63%,47%,16%,5%,3%,53%,26%,32%,16%,21%
Italy - Serie C - Group A,Triestina,38.0,2.24,95%,61%,34%,18%,11%,5%,34%,32%,39%,26%,34%
Italy - Serie C - Group A,AlbinoLeffe,38.0,2.21,89%,76%,32%,16%,5%,3%,42%,39%,29%,29%,18%
Italy - Serie C - Group A,FeralpiSalo,38.0,2.18,87%,61%,37%,26%,8%,0%,42%,47%,24%,34%,11%
Italy - Serie C - Group A,Giana Erminio,38.0,2.18,95%,63%,39%,18%,3%,0%,42%,29%,34%,24%,29%
Italy - Serie C - Group A,Lecco,38.0,2.18,87%,63%,37%,13%,11%,5%,53%,24%,37%,11%,24%
Italy - Serie C - Group A,Vicenza,38.0,2.18,95%,68%,39%,13%,3%,0%,37%,55%,13%,50%,8%
Italy - Serie C - Group A,Novara,38.0,2.13,84%,61%,42%,18%,5%,3%,42%,37%,37%,21%,21%
Italy - Serie C - Group A,Pro Vercelli,38.0,2.13,89%,61%,34%,18%,8%,3%,42%,24%,45%,13%,34%
Italy - Serie C - Group A,Pro Patria,38.0,2.0,84%,66%,37%,11%,3%,0%,58%,21%,37%,5%,21%
Italy - Serie C - Group A,Renate,38.0,1.87,92%,45%,34%,13%,3%,0%,32%,39%,37%,32%,29%
Italy - Serie C - Group A,Alcione,38.0,1.84,92%,55%,26%,8%,3%,0%,34%,29%,45%,21%,37%
Italy - Serie C - Group B,Lucchese,38.0,2.92,84%,76%,58%,42%,26%,5%,61%,24%,32%,8%,16%
Italy - Serie C - Group B,Pontedera,38.0,2.84,95%,82%,55%,24%,21%,8%,63%,18%,24%,13%,18%
Italy - Serie C - Group B,SPAL,38.0,2.68,97%,82%,53%,21%,13%,3%,61%,16%,26%,13%,24%
Italy - Serie C - Group B,Pianese,38.0,2.53,97%,71%,37%,24%,16%,8%,42%,29%,32%,26%,29%
Italy - Serie C - Group B,Pineto,38.0,2.5,92%,68%,47%,26%,13%,3%,58%,32%,18%,24%,11%
Italy - Serie C - Group B,AC Milan B,38.0,2.45,89%,71%,45%,24%,13%,3%,58%,18%,34%,8%,24%
Italy - Serie C - Group B,Legnago Salus,38.0,2.45,89%,68%,47%,24%,8%,3%,47%,16%,47%,5%,37%
Italy - Serie C - Group B,Torres,38.0,2.39,84%,66%,50%,21%,13%,5%,55%,34%,26%,18%,11%
Italy - Serie C - Group B,Pescara,38.0,2.37,87%,61%,53%,26%,11%,0%,53%,32%,29%,18%,16%
Italy - Serie C - Group B,Athletic Carpi,38.0,2.34,87%,68%,50%,21%,5%,3%,53%,26%,34%,13%,21%
Italy - Serie C - Group B,Sestri Levante,38.0,2.32,84%,61%,45%,29%,11%,3%,47%,26%,42%,11%,26%
Italy - Serie C - Group B,Ternana,38.0,2.29,82%,61%,47%,21%,11%,3%,39%,50%,29%,32%,11%
Italy - Serie C - Group B,Arezzo,38.0,2.24,92%,61%,37%,18%,11%,5%,39%,47%,21%,39%,13%
Italy - Serie C - Group B,Entella,38.0,2.24,92%,74%,39%,16%,3%,0%,55%,42%,11%,34%,3%
Italy - Serie C - Group B,Perugia,38.0,2.21,84%,66%,45%,18%,5%,3%,45%,37%,34%,21%,18%
Italy - Serie C - Group B,Ascoli,38.0,2.18,92%,68%,42%,13%,3%,0%,58%,21%,29%,13%,21%
Italy - Serie C - Group B,Campobasso,38.0,2.16,87%,71%,39%,13%,5%,0%,39%,29%,45%,16%,32%
Italy - Serie C - Group B,Rimini,38.0,2.11,87%,61%,34%,16%,8%,5%,45%,32%,37%,18%,24%
Italy - Serie C - Group B,Vis Pesaro,38.0,2.05,89%,66%,34%,13%,3%,0%,45%,42%,24%,32%,13%
Italy - Serie C - Group B,Gubbio,38.0,1.95,87%,58%,37%,11%,3%,0%,42%,37%,34%,24%,21%
Jamaica - Premier League,Molynes Utd,39.0,2.97,87%,77%,59%,41%,18%,8%,38%,23%,51%,10%,38%
Jamaica - Premier League,Mount Pleasant,39.0,2.95,95%,79%,59%,33%,18%,5%,33%,64%,8%,59%,3%
Jamaica - Premier League,Vere Utd,39.0,2.92,95%,90%,59%,28%,15%,5%,54%,13%,38%,8%,33%
Jamaica - Premier League,Arnett Gardens,39.0,2.82,92%,77%,51%,33%,15%,8%,51%,41%,15%,33%,8%
Jamaica - Premier League,Tivoli Gardens,39.0,2.79,87%,72%,51%,31%,21%,13%,59%,31%,23%,18%,10%
Jamaica - Premier League,Cavalier,39.0,2.77,95%,82%,54%,31%,8%,5%,67%,23%,15%,18%,10%
Jamaica - Premier League,Dunbeholden,39.0,2.59,92%,67%,44%,31%,21%,5%,36%,23%,49%,15%,41%
Jamaica - Premier League,Humble Lions,39.0,2.54,90%,72%,44%,28%,15%,5%,59%,18%,33%,8%,23%
Jamaica - Premier League,Harbour View,39.0,2.46,90%,62%,51%,26%,10%,8%,44%,21%,46%,10%,36%
Jamaica - Premier League,Chapelton,39.0,2.38,97%,74%,44%,18%,5%,0%,51%,15%,36%,13%,33%
Jamaica - Premier League,Racing United,39.0,2.38,95%,74%,44%,21%,5%,0%,46%,31%,28%,26%,23%
Jamaica - Premier League,Montego Bay,39.0,2.31,85%,67%,44%,26%,8%,3%,41%,49%,26%,33%,10%
Jamaica - Premier League,Waterhouse,39.0,2.21,95%,67%,36%,15%,8%,0%,41%,36%,28%,31%,23%
Jamaica - Premier League,Portmore Utd,39.0,1.69,82%,51%,23%,8%,3%,3%,31%,49%,38%,31%,21%
Japan - J1 League,Kyoto Sanga,23.0,2.83,100%,83%,57%,17%,13%,9%,65%,22%,13%,22%,13%
Japan - J1 League,Cerezo Osaka,23.0,2.78,96%,78%,52%,26%,13%,9%,65%,17%,22%,13%,17%
Japan - J1 League,Albirex Niigata,23.0,2.74,96%,74%,57%,30%,13%,4%,61%,17%,26%,13%,22%
Japan - J1 League,K. Frontale,23.0,2.65,91%,78%,61%,26%,4%,4%,61%,30%,17%,22%,9%
Japan - J1 League,Shimizu S-Pulse,23.0,2.57,96%,78%,43%,22%,13%,4%,48%,22%,35%,17%,30%
Japan - J1 League,Machida Zelvia,23.0,2.52,100%,70%,61%,22%,0%,0%,43%,30%,26%,30%,26%
Japan - J1 League,Nagoya G.,23.0,2.52,91%,87%,61%,13%,0%,0%,65%,22%,22%,13%,13%
Japan - J1 League,Gamba Osaka,23.0,2.48,96%,61%,39%,26%,13%,9%,35%,35%,35%,30%,30%
Japan - J1 League,FC Tokyo,23.0,2.43,96%,70%,48%,22%,9%,0%,35%,22%,48%,17%,43%
Japan - J1 League,Kashima Antlers,23.0,2.39,100%,61%,48%,17%,4%,4%,48%,39%,13%,39%,13%
Japan - J1 League,Vissel Kobe,23.0,2.3,91%,57%,48%,26%,9%,0%,48%,35%,26%,26%,17%
Japan - J1 League,Yokohama M.,23.0,2.26,91%,65%,39%,17%,9%,4%,39%,22%,48%,13%,39%
Japan - J1 League,Kashiwa Reysol,23.0,2.22,96%,74%,30%,13%,4%,4%,48%,48%,9%,43%,4%
Japan - J1 League,Urawa RD,21.0,2.19,90%,71%,38%,14%,5%,0%,57%,29%,24%,19%,14%
Japan - J1 League,Shonan Bellmare,22.0,2.09,91%,68%,41%,9%,0%,0%,41%,23%,45%,14%,36%
Japan - J1 League,S. Hiroshima,23.0,1.96,100%,52%,39%,4%,0%,0%,43%,35%,22%,35%,22%
Japan - J1 League,Yokohama FC,23.0,1.83,91%,57%,30%,4%,0%,0%,30%,30%,48%,22%,39%
Japan - J1 League,Avispa Fukuoka,22.0,1.82,86%,45%,32%,14%,5%,0%,41%,41%,32%,27%,18%
Japan - J1 League,Fagiano Okayama,23.0,1.7,91%,52%,22%,4%,0%,0%,35%,35%,39%,26%,30%
Japan - J1 League,Tokyo Verdy,23.0,1.65,78%,43%,30%,13%,0%,0%,22%,48%,52%,26%,30%
Japan - J2 League,V-V. Nagasaki,22.0,3.27,100%,82%,59%,41%,27%,14%,73%,18%,9%,18%,9%
Japan - J2 League,Blaublitz Akita,22.0,2.95,100%,82%,64%,27%,14%,9%,73%,9%,18%,9%,18%
Japan - J2 League,M. Yamagata,22.0,2.95,86%,68%,64%,41%,23%,9%,59%,23%,32%,9%,18%
Japan - J2 League,C. Sapporo,22.0,2.86,100%,77%,59%,36%,9%,5%,64%,14%,23%,14%,23%
Japan - J2 League,Ehime FC,22.0,2.82,91%,82%,45%,36%,18%,9%,68%,14%,27%,5%,18%
Japan - J2 League,Iwaki,22.0,2.64,95%,77%,41%,23%,14%,9%,64%,5%,36%,0%,32%
Japan - J2 League,Jubilo Iwata,22.0,2.64,95%,64%,45%,32%,18%,9%,45%,32%,27%,27%,23%
Japan - J2 League,R. Kumamoto,22.0,2.59,86%,68%,50%,36%,14%,5%,50%,32%,32%,18%,18%
Japan - J2 League,Fujieda MYFC,22.0,2.45,86%,68%,41%,23%,18%,9%,45%,27%,41%,14%,27%
Japan - J2 League,JEF Utd Chiba,22.0,2.41,86%,59%,41%,27%,18%,9%,45%,32%,36%,18%,23%
Japan - J2 League,Omiya Ardija,22.0,2.36,86%,64%,55%,23%,5%,5%,50%,41%,23%,27%,9%
Japan - J2 League,Mito Hollyhock,22.0,2.27,86%,68%,45%,18%,9%,0%,50%,45%,18%,32%,5%
Japan - J2 League,FC Imabari,22.0,2.23,73%,45%,41%,32%,23%,9%,45%,36%,45%,9%,18%
Japan - J2 League,R. Yamaguchi,22.0,2.14,91%,64%,36%,23%,0%,0%,50%,23%,36%,14%,27%
Japan - J2 League,Vegalta Sendai,22.0,2.14,86%,55%,36%,18%,9%,5%,45%,41%,27%,27%,14%
Japan - J2 League,Kataller Toyama,22.0,1.95,86%,50%,36%,23%,0%,0%,41%,32%,41%,18%,27%
Japan - J2 League,Sagan Tosu,22.0,1.95,91%,50%,32%,18%,5%,0%,41%,41%,27%,32%,18%
Japan - J2 League,Ventforet Kofu,22.0,1.91,77%,50%,32%,14%,9%,9%,36%,50%,36%,27%,14%
Japan - J2 League,Oita Trinita,22.0,1.82,86%,64%,27%,5%,0%,0%,41%,36%,36%,23%,23%
Japan - J2 League,Tokushima V.,22.0,1.64,91%,55%,5%,5%,5%,5%,23%,55%,32%,45%,23%
Japan - J3 League,Fukushima Utd,19.0,3.89,100%,84%,74%,53%,32%,26%,68%,16%,16%,16%,16%
Japan - J3 League,Kochi United,19.0,3.32,89%,79%,63%,53%,37%,5%,58%,21%,32%,11%,21%
Japan - J3 League,Kusatsu,19.0,3.0,84%,74%,42%,42%,26%,21%,53%,32%,32%,16%,16%
Japan - J3 League,Kagoshima Utd,19.0,2.84,95%,84%,53%,26%,16%,5%,68%,26%,11%,21%,5%
Japan - J3 League,Gifu,19.0,2.68,100%,74%,42%,21%,21%,5%,68%,5%,26%,5%,26%
Japan - J3 League,Matsumoto Y.,19.0,2.47,95%,79%,47%,21%,5%,0%,53%,26%,26%,21%,21%
Japan - J3 League,Nara Club,19.0,2.42,95%,74%,47%,21%,5%,0%,63%,21%,21%,16%,16%
Japan - J3 League,T. Miyazaki,19.0,2.42,84%,63%,42%,26%,21%,5%,63%,32%,21%,16%,5%
Japan - J3 League,Tochigi City,19.0,2.42,89%,63%,53%,21%,16%,0%,53%,37%,21%,26%,11%
Japan - J3 League,Osaka,19.0,2.37,89%,53%,42%,16%,11%,11%,42%,47%,21%,37%,11%
Japan - J3 League,SC Sagamihara,19.0,2.37,89%,79%,32%,16%,11%,11%,63%,21%,26%,11%,16%
Japan - J3 League,Z. Kanazawa,19.0,2.32,95%,74%,53%,11%,0%,0%,68%,16%,21%,11%,16%
Japan - J3 League,Nagano Parceiro,19.0,2.05,89%,58%,32%,21%,5%,0%,42%,32%,37%,21%,26%
Japan - J3 League,AC Numazu,19.0,2.0,79%,58%,32%,26%,5%,0%,42%,32%,47%,11%,26%
Japan - J3 League,FC Ryukyu,19.0,2.0,95%,63%,32%,5%,5%,0%,42%,21%,42%,16%,37%
Japan - J3 League,Kamatamare S.,19.0,2.0,100%,63%,21%,5%,5%,5%,37%,16%,47%,16%,47%
Japan - J3 League,G. Kitakyushu,19.0,1.89,95%,53%,26%,11%,5%,0%,32%,47%,26%,42%,21%
Japan - J3 League,Gainare Tottori,19.0,1.79,89%,58%,32%,0%,0%,0%,26%,37%,47%,26%,37%
Japan - J3 League,V. Hachinohe,19.0,1.79,95%,53%,21%,5%,5%,0%,37%,53%,16%,47%,11%
Japan - J3 League,Tochigi SC,19.0,1.53,84%,32%,26%,11%,0%,0%,32%,42%,42%,26%,26%
Kazakhstan - Premier League,FC Astana,16.0,3.06,100%,94%,44%,25%,19%,19%,56%,44%,0%,44%,0%
Kazakhstan - Premier League,Okzhetpes,15.0,3.0,93%,73%,53%,40%,20%,13%,60%,20%,27%,13%,20%
Kazakhstan - Premier League,Kairat Almaty,16.0,2.88,94%,75%,69%,38%,12%,0%,56%,38%,12%,31%,6%
Kazakhstan - Premier League,Kaisar K.,16.0,2.81,88%,81%,56%,31%,19%,6%,69%,19%,25%,6%,12%
Kazakhstan - Premier League,Tobol,14.0,2.79,93%,86%,57%,29%,14%,0%,64%,36%,7%,29%,0%
Kazakhstan - Premier League,Atyrau,17.0,2.71,94%,82%,59%,24%,12%,0%,47%,6%,53%,0%,47%
Kazakhstan - Premier League,Kyzylzhar,15.0,2.47,80%,73%,47%,20%,20%,7%,67%,20%,33%,0%,13%
Kazakhstan - Premier League,Turan,15.0,2.4,93%,73%,53%,13%,7%,0%,47%,20%,40%,13%,33%
Kazakhstan - Premier League,Aktobe,16.0,2.38,94%,69%,50%,19%,6%,0%,44%,44%,19%,38%,12%
Kazakhstan - Premier League,Yelimay Semey,15.0,2.33,100%,80%,40%,7%,7%,0%,47%,33%,20%,33%,20%
Kazakhstan - Premier League,Zhetysu,15.0,2.27,80%,73%,53%,20%,0%,0%,53%,20%,47%,0%,27%
Kazakhstan - Premier League,Ulytau,15.0,2.07,93%,67%,33%,7%,7%,0%,40%,20%,47%,13%,40%
Kazakhstan - Premier League,Zhenys,15.0,1.93,73%,60%,27%,20%,7%,7%,40%,47%,40%,20%,13%
Kazakhstan - Premier League,Ordabasy,14.0,1.86,79%,43%,36%,21%,7%,0%,29%,50%,43%,29%,21%
Latvia - Virsliga,RFS,22.0,3.32,100%,73%,64%,36%,27%,18%,59%,32%,9%,32%,9%
Latvia - Virsliga,Daugavpils,22.0,3.27,95%,82%,59%,36%,32%,14%,73%,18%,14%,14%,9%
Latvia - Virsliga,Liepaja,22.0,3.14,91%,77%,59%,45%,23%,14%,55%,32%,23%,23%,14%
Latvia - Virsliga,Riga FC,22.0,2.95,100%,91%,55%,27%,9%,9%,45%,55%,0%,55%,0%
Latvia - Virsliga,Tukums,22.0,2.86,91%,86%,55%,27%,14%,9%,45%,23%,41%,14%,32%
Latvia - Virsliga,Grobina,22.0,2.82,100%,82%,36%,27%,27%,9%,45%,18%,36%,18%,36%
Latvia - Virsliga,Metta,22.0,2.77,95%,77%,45%,32%,18%,9%,41%,14%,50%,9%,45%
Latvia - Virsliga,Super Nova,22.0,2.59,95%,82%,41%,27%,9%,5%,64%,18%,23%,14%,18%
Latvia - Virsliga,Auda,22.0,2.55,95%,73%,45%,27%,9%,5%,50%,41%,14%,36%,9%
Latvia - Virsliga,FS Jelgava,22.0,2.0,91%,59%,32%,14%,5%,0%,41%,14%,55%,5%,45%
Latvia - 1. Liga,AFA Olaine,12.0,4.33,100%,75%,67%,67%,67%,33%,75%,0%,25%,0%,25%
Latvia - 1. Liga,Riga Mariners,12.0,3.92,100%,92%,75%,58%,33%,25%,83%,17%,0%,17%,0%
Latvia - 1. Liga,Rezekne,12.0,3.83,100%,83%,58%,33%,33%,25%,75%,8%,17%,8%,17%
Latvia - 1. Liga,Smiltene,12.0,3.83,100%,100%,92%,50%,25%,17%,83%,8%,8%,8%,8%
Latvia - 1. Liga,Ogre United,12.0,3.67,100%,83%,75%,50%,25%,8%,67%,33%,0%,33%,0%
Latvia - 1. Liga,Leevon PPK,12.0,3.5,100%,83%,67%,42%,25%,17%,67%,8%,25%,8%,25%
Latvia - 1. Liga,RFS B,12.0,3.33,92%,92%,75%,50%,17%,8%,75%,17%,17%,8%,8%
Latvia - 1. Liga,Tukums B,12.0,3.0,100%,75%,67%,42%,17%,0%,67%,8%,25%,8%,25%
Latvia - 1. Liga,Alberts JDFS,12.0,2.92,92%,75%,50%,33%,8%,8%,50%,50%,8%,42%,0%
Latvia - 1. Liga,Riga FC B,12.0,2.92,100%,75%,50%,42%,17%,8%,58%,8%,33%,8%,33%
Latvia - 1. Liga,Skanste,12.0,2.75,100%,75%,42%,33%,17%,8%,58%,25%,17%,25%,17%
Latvia - 1. Liga,Augsdaugava,12.0,2.67,83%,75%,42%,33%,25%,8%,33%,17%,67%,0%,50%
Latvia - 1. Liga,JFK Ventspils,12.0,2.58,100%,83%,50%,25%,0%,0%,75%,25%,0%,25%,0%
Latvia - 1. Liga,Marupe,12.0,2.25,100%,67%,42%,8%,8%,0%,50%,33%,17%,33%,17%
Lithuania - A Lyga,Riteriai,19.0,3.47,95%,84%,68%,47%,26%,21%,68%,11%,26%,5%,21%
Lithuania - A Lyga,Hegelmann L.,19.0,3.11,100%,84%,63%,32%,16%,11%,47%,32%,21%,32%,21%
Lithuania - A Lyga,Siauliai,19.0,3.05,95%,79%,68%,37%,16%,5%,53%,26%,26%,21%,21%
Lithuania - A Lyga,Panevezys,19.0,2.84,95%,89%,58%,26%,11%,5%,58%,26%,21%,21%,16%
Lithuania - A Lyga,Dainava,19.0,2.79,100%,89%,53%,32%,5%,0%,53%,5%,42%,5%,42%
Lithuania - A Lyga,Kauno Zalgiris,19.0,2.53,79%,68%,58%,32%,11%,5%,37%,58%,26%,37%,5%
Lithuania - A Lyga,Zalgiris,19.0,2.53,89%,74%,42%,21%,16%,11%,47%,32%,32%,21%,21%
Lithuania - A Lyga,Suduva,19.0,2.37,84%,63%,42%,26%,11%,5%,37%,53%,26%,37%,11%
Lithuania - A Lyga,Banga,19.0,2.05,100%,68%,32%,5%,0%,0%,42%,21%,37%,21%,37%
